Название; Квадратное сопротивление;Допустимая удельная мощность рассеивания;ТКС;Необратимое относительное изменение сопротивления после 1000 ч работы под нагрузкой
Кермет К50-С;10000.0;2.0;1.0;0.0
Хром; 500.0;1.0; 2.0;0.0 
